,,,,,,,,,,,,,,,,,,,,
,Tabla de conversiones,,,Bachelors,,,,,,,,,,,,,,,,
,Estados Unidos,Academy of Art University,Arts,Bachelor of Arts in Architecture,Architectural Design,San Francisco,"Enero, Junio, Septiembre",4 años,"$35,112",USD,https://www.academyart.edu/art-degree/architecture-ba/,GSP,,,,,,,,
,Australia,Adelaide University,Arts,Bachelor of Architectural Design,-,Adelaide City,"Feb, Jul",4 años,53300,AUD,https://adelaideuni.edu.au/study/degrees/bachelor-of-architectural-design/int/,,,,,,,,,
,Australia,Adelaide University,Arts,Bachelor of Architectural Design ,Urban Planning,Adelaide City,"Feb, Jul",3 años,50500,AUD,https://adelaideuni.edu.au/study/degrees/bachelor-of-architectural-design-urban-planning/int/,,,,,,,,,
,Australia,Adelaide University,Arts,Bachelor of Construction Management,-,Adelaide City,"Feb, Jul",3 años,50500,AUD,https://adelaideuni.edu.au/study/degrees/bachelor-of-construction-management/int/,,,,,,,,,
,Australia,Adelaide University,Arts,Bachelor of Interior Architecture (Honours),Interior Architecture,Adelaide City,"Feb, Jul",4 años,50500,AUD,https://adelaideuni.edu.au/study/degrees/bachelor-of-interior-architecture-honours/int/,,,,,,,,,
,Reino Unido,Queen's University Belfast,Arts,BMus Music,Music,Belfast,Septiembre,3 años,16900,GBP,https://www.qub.ac.uk/courses/undergraduate/music-bmus-w300/,GSP,,,,,,,,
,Reino Unido,University of Glasgow,Arts,MA English Language and Literature,English Language and Literature,Glasgow,Septiembre,4 años,21900,GBP,https://www.gla.ac.uk/undergraduate/degrees/englishlanguageliterature/,GSP,,,,,,,,
,Australia,APAC,Arts,Bachelor of Screen and Stage (Acting),"Actuacion (teatro, cine, TV)",Brisbane,"Feb, Jun, Sep",2 aÃ±os (tiempo completo),"$35,000",AUD,https://apac.edu.au/courses/bachelor-of-screen-and-stage-acting/,,,,,,,,,
,Australia,APAC,Arts,Bachelor of Screen and Stage (Screen Production),Produccion Audiovisual,Brisbane,"Feb, Jun, Sep",2 aÃ±os (tiempo completo),"$35,000",AUD,https://apac.edu.au/courses/bachelor-of-screen-and-stage-screen-production/,,,,,,,,,
,Australia,APAC,Arts,Bachelor of Musical Theatre,"Teatro musical, canto, baile",Brisbane,"Feb, Jun, Sep",2 aÃ±os (tiempo completo),"$35,000",AUD,https://apac.edu.au/courses/bachelor-of-musical-theatre/,,,,,,,,,
,Australia,APAC,Arts,Bachelor of Screen and Stage (Song and Dance),Canto y danza escenica,Brisbane,"Feb, Jun, Sep",2 aÃ±os (tiempo completo),"$35,000",AUD,https://apac.edu.au/courses/bachelor-of-screen-and-stage-song-and-dance/,,,,,,,,,
