Course Name,University Name,Domain,Credential Level,Fees,Minimum Requirements,Intakes Duration,Link
Bachelor of Physiotherapy and Rehabilitation,Istinye University - Istanbul,"Mental Health, Psychological Therapy",Bachelor's Degree,5200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Nursing (Turkish),Istinye University - Istanbul,Healthcare,Bachelor's Degree,5200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Nursing (English),Istinye University - Istanbul,Healthcare,Bachelor's Degree,5200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Nutrition and Dietetics (Turkish),Istinye University - Istanbul,Nutrition and Dietetics,Bachelor's Degree,5200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Child Development (Turkish),Istinye University - Istanbul,Life Sciences and Medicine,Bachelor's Degree,4600.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Speech and Language Therapy (Turkish),Istinye University - Istanbul,"Mental Health, Psychological Therapy",Bachelor's Degree,4600.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Midwifery (Turkish),Istinye University - Istanbul,Medicine,Bachelor's Degree,4600.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Social Work (Turkish),Istinye University - Istanbul,Humanities and Social Science,Bachelor's Degree,4600.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Mechanical Engineering (English),Istinye University - Istanbul,Mechanical,Bachelor's Degree,5800.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Computer Engineering (English),Istinye University - Istanbul,Computer/IT/Data/Information Systems,Bachelor's Degree,5800.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Electrical and Electronics Engineering,Istinye University - Istanbul,Electrical and Electronics,Bachelor's Degree,5800.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Architecture (English),Istinye University - Istanbul,Architecture (B.Arch - M.Arch),Bachelor's Degree,5800.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Architecture (Turkish),Istinye University - Istanbul,Architecture (B.Arch - M.Arch),Bachelor's Degree,5800.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Economics (English),Istinye University - Istanbul,Economics,Bachelor's Degree,4600.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Business Administration (English),Istinye University - Istanbul,Business Administration and Management,Bachelor's Degree,6500.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Healthcare Management (Turkish),Istinye University - Istanbul,Health Sciences and Management,Bachelor's Degree,4600.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Political Science and Public Administration (Turkish),Istinye University - Istanbul,International Relations and Political Sciences,Bachelor's Degree,4600.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of International Relations (English),Istinye University - Istanbul,International Relations and Political Sciences,Bachelor's Degree,4600.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
