pais,institucion,area,programa,ubicacion,fechas,duracion,costo,moneda,link
Alemania,Berlin School of Business and Innovation,Business,MA in Strategic Marketing (UNINETTUNO),Barcelona,"April, November","1,5 years full time",12600.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/ma-in-strategic-marketing
Alemania,Berlin School of Business and Innovation,Business,MSc Finance & Investment (UCA),"Berlin
Paris","February, October
November","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/msc-finance-investment
Alemania,Berlin School of Business and Innovation,Business,MA Visual Communication (UCA),Hamburg,"February, October","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/ma-visual-communication
Alemania,Berlin School of Business and Innovation,Business,MSc in Engineering Management (UNINETTUNO),Berlin,"February, May, October","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/msc-in-engineering-management
Alemania,Berlin School of Business and Innovation,Business,MA in Logistics (UNINETTUNO),Barcelona,November,"1,5 years full time",15000.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/ma-in-logistics
Alemania,Berlin School of Business and Innovation,Business,MSc Information Technology Management (UCA),"Berlin
Paris","February,  May, October
November","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/msc-information-technology-management
Alemania,Berlin School of Business and Innovation,Business,MSc Data Analytics (UCA),Berlin,"February, May, October","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/msc-data-analytics
Alemania,Berlin School of Business and Innovation,Business,GLOBAL MBA (UNINETTUNO),Berlin,"February, October","1,5 years full time",14150.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/msc-data-analytics
Canada,Lakehead University,Business,Business Administration (MBA),Thunder Bay,"January, September","1,5 years full time",291187.0,CAD,https://www.lakeheadu.ca/programs/graduate/programs/masters/business-administration/node/7247
Canada,Lakehead University,Business,Business Management,Thunder Bay,"January, September",1 years full time,1986538.0,CAD,https://www.lakeheadu.ca/programs/graduate/programs/masters/business-management/node/7275
Canada,Lakehead University,Business,Economics,Thunder Bay,"January, September",2 years full time,1586536.0,CAD,https://www.lakeheadu.ca/programs/graduate/programs/masters/economics/node/7273
Alemania,Berlin School of Business and Innovation,Business,Digital Marketing,Berlin,"Feb, May, October",1.5 years full time,13920.0,EUR,https://www.berlinsbi.com/es/programas/cursos-de-posgrado/msc-digital-marketing
Francia,Berlin School of Business and Innovation,Business,Digital Marketing,Paris,November,2 years full time,13920.0,EUR,https://www.berlinsbi.com/es/programas/cursos-de-posgrado/msc-digital-marketing
España,Schiller International University,Business,Master of Science in Digital Marketing and E-commerce,"Madrid, Paris",October,1 year full time,19560.0,EUR,https://schiller.edu/programs/master-of-science-in-digital-marketing-and-e-commerce/
Suiza,EU Business School,Business,"Master in Digital Marketing, Transformation & Design Thinking",Geneva,"October, January & April",1 year full time,10780.0,CHF,https://www.euruni.edu/en/Programs/Master-s/Master-in-Digital-Marketing-Geneva/Overview/Overview.html
Suecia,Jönköping University,Business,Master in International Marketing,"Jönköping, Sweden",Spring: January / Autum: August,1 year full time,120000.0,SEK,https://ju.se/en/study-at-ju/our-programmes/master-programmes/master-in-international-marketing.html#showmore-Factsandrequirements
Australia,Southern Cross University,"Business, Engineering, Management","Master of Engineering Management, Master of Business Administration",Gold Coast,"February, June, October",2 years full time,31920.0,AUD,https://www.scu.edu.au/study/courses/master-of-engineering-management-master-of-business-administration-1229100/2024/
Australia,Deakin University,Construction and Property,Master of Construction Management,Geelong,"Trimester 1: March
Trimester 2: July
Trimester 3: November",2 years full time,47400.0,AUD,https://www.deakin.edu.au/course/master-construction-management-professional-international
Australia,JMC Academy,Creative Industries,Master of Creative Industries,"Sydney, Melbourne, Brisbane","February, August",2 years full time,27760.0,AUD,https://www.jmcacademy.edu.au/our-courses/creative-industries/master-of-creative-industries/
Australia,University of Western Australia,Salud y Ciencias Biomedicas,Master of Clinical Audiology,Perth,FEB,2,57100.0,AUD,https://www.uwa.edu.au/study/courses/master-of-clinical-audiology
Australia,University of Western Australia,Salud y Ciencias Biomedicas,Master of Clinical Exercise Physiology,Perth,"FEB, JUL",1.5-2,53000.0,AUD,https://www.uwa.edu.au/study/courses/master-of-clinical-exercise-physiology
Australia,University of Western Australia,Salud y Ciencias Biomedicas,Master of Exercise Science,Perth,"FEB, JUL",1,48200.0,AUD,https://www.uwa.edu.au/study/courses/master-of-exercise-science---thesis-and-coursework#course-details
Australia,University of Western Australia,Salud y Ciencias Biomedicas,Master of Health Professions Education,Perth,FEB,2025-05-01 00:00:00,51700.0,AUD,https://www.uwa.edu.au/study/courses/master-of-health-professions-education---coursework-and-dissertation#fees-and-scholarships
Australia,Deakin University,Data science and analytics,Master of Data Science,Melbourne,"Trimester 1: March
Trimester 2: July
Trimester 3: November",2 years full time,44200.0,AUD,https://www.deakin.edu.au/course/master-data-science-international
Australia,Deakin University,Data science and analytics,Master of Research (Business),Melbourne,"Trimester 1: March
Trimester 2: July
Trimester 3: November",2 years full time,33800.0,AUD,https://www.deakin.edu.au/course/master-research-business-international
Alemania,SRH Berlin,Design and creative arts,Master in Strategic Design,Berlin,October,2 years full time,9960.0,EUR,https://www.srh-berlin.de/en/master/strategic-design-berlin/
Alemania,SRH Berlin,Design and creative arts,Master in Social Design & Sustainable Innovation,Berlin,"April, october",2 years full time,9960.0,EUR,https://www.srh-berlin.de/en/master/social-design-berlin/
Australia,Deakin University,Design and creative arts,Master of Arts (Writing and Literature),Melbourne,"Trimester 1: March
Trimester 2: July
Trimester 3: November",2 years full time,40800.0,AUD,https://www.deakin.edu.au/course/master-arts-writing-and-literature-international
